Player
Chadi Riad
Alexsandro Ribeiro
Samuele Ricci
Declan Rice
Chris Richards
Amir Richardson
Richarlison
Diego Rico
Luis Rioja
Sergi Roberto
Andrew Robertson
Antonee Robinson
Marc Roca
Rodri
Alejandro Rodriguez
Álvaro Rodríguez
Arturo Rodríguez
Damián Rodríguez
Daniel Rodriguez
Guido Rodríguez
Javi Rodríguez
Jesus Rodríguez
Kirian Rodríguez
Ricardo Rodríguez
Mads Roerslev
Alessio Romagnoli
Carlos Romero
Cristian Romero
Isaac Romero
Oriol Romeu
Vitor Roque
Lasse Rosenboom
Max Rosenfelder
Valentin Rosier
Anthony Rouault
Jonas Rouhi
Nicolò Rovella
Amir Rrahmani
Tommaso Rubino
Antonio Rüdiger
Matteo Ruggeri
Abel Ruiz
Ferrán Ruiz
Fabián Ruiz Peña
Julian Ryerson
Youssouf Sabaly
Stefano Sabelli
Marcel Sabitzer
Falaye Sacko
Umar Sadiq
Jorge Sáenz
Modibo Sagnan
Richie Sagrado
Wesley Saïd
Théo Sainte-Luce
Faik Sakar
Marco Sala
Ibrahim Salah
Mohamed Salah
Anass Salah-Eddine
Amine Salama
Kike Salas
William Saliba
Mohammed Salisu
Yoann Salmier
Lazar Samardzic
Diadie Samassékou
Mama Samba Baldé
Albert Sambi Lokonga
Chuky san jose
Antonio Sanabria
Oihan Sancet
Alexis Sánchez
Javi Sánchez
Manu Sánchez
Jadon Sancho
Philipp Sander
Leroy Sané
Arouna Sangante
Ibrahim Sangaré
Maroan Sannadi
Kaishu Sano
Morgan Sanson
Baptiste Santamaria
Jesús Santiago
Andrey Santos
Tiago Santos
Jeremy Sarmiento
Amin Sarr
Ismaila Sarr
Malang Sarr
Mamadou Sarr
Téji Savanier
Nicolò Savona
Saba Sazonov
Joe Scally
Giorgio Scalvini
Gianluca Scamacca
Kevin Schade
András Schäfer
Fabian Schär
Patrik Schick
Joël Schingtienne
Xaver Schlager
Keven Schlotterbeck
Nico Schlotterbeck
Romano Schmid
Niklas Schmidt
Jan Schöppner
Alex Scott
Aleksandar Sedlar
Alidu Seidu
Hiroki Sekine
Nélson Semedo
Antoine Semenyo
Marvin Senaya
Marcos Senesi
Stefano Sensi
Suat Serdar
Sergi
Nicolás Serrano
Luke Shaw
Djibril Sidibé
Vincent Sierro
Tim Siersleben
Zain Silcott-Duberry
Kiliann Sildillia
André Silva
Caio Henrique Oliveira Silva
Fábio Silva
Mohamed Simakan
Giovanni Simeone
Giuliano Simeone
Xavi Simons
Jahmai Simpson-Pusey
Wilfried Singo
Daley Sinkgraven
Ayanda Sishuba
Ibrahim Sissoko
Ibrahima Sissoko
Ellyes Skhiri
Oliver Skipp
Leo Skiri Østigård
Milan Škriniar
Naatan Skyttä
William Smallbone
Adam Smith
Justin Smith
Emile Smith Rowe
Ivan Smolčić
Eduard Sobol
Simon Sohm
Arnau Solà
Dominic Solanke
Oumar Solet
Jhon Solis
Borna Sosa
Hugo Sotelo
Tomáš Souček
Boubakary Soumaré
Djibril Sow
Saidou Sow
